time	V(n001)	V(n004)	V(n008)
0.000000000000000e+000	0.000000e+000	0.000000e+000	0.000000e+000
9.999999439624929e-011	2.500000e-005	1.254422e-009	5.000000e-005
1.205386054531397e-010	3.013465e-005	1.539389e-009	6.026930e-005
1.616158275669206e-010	4.040396e-005	2.195413e-009	8.080791e-005
2.437702717944823e-010	6.094257e-005	3.637959e-009	1.218851e-004
4.080791602496056e-010	1.020198e-004	6.662763e-009	2.040396e-004
2.147032013157434e-007	5.367580e-002	3.916756e-006	1.073516e-001
4.289983234712373e-007	1.072496e-001	7.729289e-006	2.144992e-001
6.432934456267311e-007	1.608234e-001	1.144426e-005	3.216467e-001
8.575885677822250e-007	2.143971e-001	1.506168e-005	4.287943e-001
1.071883689937719e-006	2.679709e-001	1.858153e-005	5.359419e-001
1.286178812093213e-006	3.215447e-001	2.200383e-005	6.430894e-001
1.500473934248706e-006	3.751185e-001	2.532856e-005	7.502370e-001
3.000722925200316e-006	7.501807e-001	4.766872e-005	1.500361e+000
3.772371933611633e-006	9.430930e-001	5.767356e-005	1.886186e+000
4.442799977934449e-006	1.110700e+000	6.376250e-005	2.221400e+000
5.257845859106136e-006	1.314461e+000	6.680119e-005	2.628923e+000
6.351429649213665e-006	1.587857e+000	6.593549e-005	3.175715e+000
6.805287425761131e-006	1.701322e+000	6.420521e-005	3.402644e+000
7.087366999842778e-006	1.771842e+000	6.263965e-005	3.543684e+000
7.249195348282021e-006	1.812299e+000	6.191448e-005	3.624598e+000
7.343191582603528e-006	1.835798e+000	6.280311e-005	3.671596e+000
7.406244381580671e-006	1.851561e+000	6.666957e-005	3.703122e+000
7.464302718911290e-006	1.866076e+000	7.722490e-005	3.732151e+000
7.541864173460182e-006	1.885466e+000	1.063147e-004	3.770932e+000
7.617699859982675e-006	1.904425e+000	1.584021e-004	3.808850e+000
7.718030234820598e-006	1.929508e+000	2.744874e-004	3.859015e+000
7.829351103034700e-006	1.957338e+000	4.825653e-004	3.914675e+000
7.974570703849171e-006	1.993643e+000	9.119317e-004	3.987285e+000
8.155559477654456e-006	2.038890e+000	1.749060e-003	4.077780e+000
8.394869240244080e-006	2.098717e+000	3.471531e-003	4.197434e+000
8.706319156832863e-006	2.176580e+000	6.953777e-003	4.353159e+000
9.137415746899378e-006	2.284354e+000	1.375535e-002	4.568708e+000
9.378585257674437e-006	2.344646e+000	1.864637e-002	4.689292e+000
9.517660978449881e-006	2.379415e+000	2.205507e-002	4.758831e+000
9.721848558449110e-006	2.430462e+000	2.780710e-002	4.860924e+000
9.999999999999999e-006	2.500000e+000	3.637603e-002	5.000000e+000
1.002781514415509e-005	2.506954e+000	3.734043e-002	5.000000e+000
1.008344543246527e-005	2.520861e+000	3.931019e-002	5.000000e+000
1.019470600908562e-005	2.548676e+000	4.344912e-002	5.000000e+000
1.041722716232633e-005	2.604307e+000	5.253112e-002	5.000000e+000
1.086226946880775e-005	2.715567e+000	7.377679e-002	5.000000e+000
1.175235408177060e-005	2.938088e+000	1.264553e-001	5.000000e+000
1.323269113339095e-005	3.308173e+000	2.354556e-001	5.000000e+000
1.484642426944691e-005	3.711606e+000	3.792650e-001	5.000000e+000
1.677474628714215e-005	4.193686e+000	5.789531e-001	5.000000e+000
1.895498384425280e-005	4.738746e+000	8.279742e-001	5.000000e+000
2.000000000000000e-005	5.000000e+000	9.545211e-001	5.000000e+000
2.019493177931918e-005	5.000000e+000	9.753758e-001	5.000000e+000
2.058479533795753e-005	5.000000e+000	1.010601e+000	5.000000e+000
2.136452245523423e-005	5.000000e+000	1.058435e+000	5.000000e+000
2.292397668978763e-005	5.000000e+000	1.110779e+000	5.000000e+000
2.436761538813250e-005	5.000000e+000	1.131642e+000	5.000000e+000
2.655218528606456e-005	5.000000e+000	1.140802e+000	5.000000e+000
2.902891429318765e-005	5.000000e+000	1.143486e+000	5.000000e+000
3.386685413879472e-005	5.000000e+000	1.144084e+000	5.000000e+000
4.028290139192677e-005	5.000000e+000	1.144131e+000	5.000000e+000
5.028290139192677e-005	5.000000e+000	1.144124e+000	5.000000e+000
6.028290139192677e-005	5.000000e+000	1.144125e+000	5.000000e+000
7.028290139192677e-005	5.000000e+000	1.144125e+000	5.000000e+000
8.028290139192677e-005	5.000000e+000	1.144125e+000	5.000000e+000
9.028290139192677e-005	5.000000e+000	1.144125e+000	5.000000e+000
1.002829013919268e-004	5.000000e+000	1.144125e+000	5.000000e+000
1.102829013919268e-004	5.000000e+000	1.144125e+000	5.000000e+000
1.202829013919268e-004	5.000000e+000	1.144125e+000	5.000000e+000
1.302829013919268e-004	5.000000e+000	1.144125e+000	5.000000e+000
1.402829013919268e-004	5.000000e+000	1.144125e+000	5.000000e+000
1.502829013919268e-004	5.000000e+000	1.144125e+000	5.000000e+000
1.602829013919268e-004	5.000000e+000	1.144125e+000	5.000000e+000
1.702829013919268e-004	5.000000e+000	1.144125e+000	5.000000e+000
1.802829013919268e-004	5.000000e+000	1.144125e+000	5.000000e+000
1.902829013919268e-004	5.000000e+000	1.144125e+000	5.000000e+000
2.002829013919268e-004	5.000000e+000	1.144125e+000	5.000000e+000
2.102829013919268e-004	5.000000e+000	1.144125e+000	5.000000e+000
