time	V(n003)	V(n007)	V(n010)
0.000000000000000e+000	0.000000e+000	0.000000e+000	0.000000e+000
9.999999439624929e-011	2.500000e-005	5.000000e-005	5.414090e-011
1.205384292995355e-010	3.013461e-005	6.026922e-005	6.713076e-011
1.616152991061078e-010	4.040383e-005	8.080765e-005	1.017041e-010
2.437690387192525e-010	6.094226e-005	1.218845e-004	2.037590e-010
4.080765179455420e-010	1.020191e-004	2.040383e-004	5.107023e-010
2.147016820845380e-007	5.367542e-002	1.073508e-001	1.561967e-004
4.289952876511306e-007	1.072488e-001	2.144976e-001	6.106967e-004
6.432888932177230e-007	1.608222e-001	3.216445e-001	1.363501e-003
8.575824987843156e-007	2.143956e-001	4.287913e-001	2.414608e-003
1.071876104350908e-006	2.679690e-001	5.359381e-001	3.764020e-003
1.286169709917501e-006	3.215424e-001	6.430849e-001	5.411735e-003
1.500463315484093e-006	3.751158e-001	7.502317e-001	7.357755e-003
3.000701689017321e-006	7.501754e-001	1.500351e+000	2.481312e-002
3.772352737161527e-006	9.430882e-001	1.886176e+000	3.691633e-002
4.442774309278150e-006	1.110694e+000	2.221387e+000	4.893121e-002
5.257814352522067e-006	1.314454e+000	2.628907e+000	6.283954e-002
6.351385475004731e-006	1.587846e+000	3.175693e+000	7.904668e-002
7.549594763039795e-006	1.887399e+000	3.774797e+000	9.363152e-002
8.660797510484753e-006	2.165199e+000	4.330399e+000	1.043954e-001
9.999999999999999e-006	2.500000e+000	5.000000e+000	1.153010e-001
1.013392024895152e-005	2.533480e+000	5.000000e+000	1.162959e-001
1.040176074685457e-005	2.600440e+000	5.000000e+000	1.184015e-001
1.093744174266067e-005	2.734360e+000	5.000000e+000	1.230955e-001
1.200880373427287e-005	3.002201e+000	5.000000e+000	1.338018e-001
1.361379974942693e-005	3.403450e+000	5.000000e+000	1.518023e-001
1.522553200586154e-005	3.806383e+000	5.000000e+000	1.714898e-001
1.722957234005453e-005	4.307393e+000	5.000000e+000	1.973126e-001
1.948491988712185e-005	4.871230e+000	5.000000e+000	2.271274e-001
2.000000000000000e-005	5.000000e+000	5.000000e+000	2.340195e-001
2.001700556550239e-005	5.000000e+000	5.000000e+000	2.342463e-001
2.005101669650717e-005	5.000000e+000	5.000000e+000	2.346956e-001
2.025508348253581e-005	5.000000e+000	5.000000e+000	2.372444e-001
2.052717253057400e-005	5.000000e+000	5.000000e+000	2.402848e-001
2.107135062665038e-005	5.000000e+000	5.000000e+000	2.453557e-001
2.215970681880314e-005	5.000000e+000	5.000000e+000	2.530998e-001
2.322357103287918e-005	5.000000e+000	5.000000e+000	2.584640e-001
2.417514166751544e-005	5.000000e+000	5.000000e+000	2.616516e-001
2.518616459126399e-005	5.000000e+000	5.000000e+000	2.639265e-001
2.616694546957986e-005	5.000000e+000	5.000000e+000	2.654250e-001
2.718849033171977e-005	5.000000e+000	5.000000e+000	2.664773e-001
2.817585067503435e-005	5.000000e+000	5.000000e+000	2.671644e-001
2.918839216010203e-005	5.000000e+000	5.000000e+000	2.676389e-001
3.017839423881698e-005	5.000000e+000	5.000000e+000	2.679523e-001
3.118778620732558e-005	5.000000e+000	5.000000e+000	2.681677e-001
3.218129081512868e-005	5.000000e+000	5.000000e+000	2.683109e-001
3.318822289768884e-005	5.000000e+000	5.000000e+000	2.684087e-001
3.418384473703109e-005	5.000000e+000	5.000000e+000	2.684741e-001
3.518893489437883e-005	5.000000e+000	5.000000e+000	2.685185e-001
3.618629679916919e-005	5.000000e+000	5.000000e+000	2.685483e-001
3.719014074255074e-005	5.000000e+000	5.000000e+000	2.685686e-001
3.818908070664032e-005	5.000000e+000	5.000000e+000	2.685821e-001
3.919205452821625e-005	5.000000e+000	5.000000e+000	2.685913e-001
4.025644747366973e-005	5.000000e+000	5.000000e+000	2.685977e-001
4.151089195253642e-005	5.000000e+000	5.000000e+000	2.686026e-001
4.293691471138172e-005	5.000000e+000	5.000000e+000	2.686059e-001
4.463025218436670e-005	5.000000e+000	5.000000e+000	2.686080e-001
4.662469548944985e-005	5.000000e+000	5.000000e+000	2.686093e-001
4.923791953199453e-005	5.000000e+000	5.000000e+000	2.686100e-001
5.288235728112786e-005	5.000000e+000	5.000000e+000	2.686103e-001
5.863922017268446e-005	5.000000e+000	5.000000e+000	2.686104e-001
6.863922017268445e-005	5.000000e+000	5.000000e+000	2.686104e-001
7.863922017268445e-005	5.000000e+000	5.000000e+000	2.686104e-001
8.863922017268445e-005	5.000000e+000	5.000000e+000	2.686104e-001
9.863922017268445e-005	5.000000e+000	5.000000e+000	2.686104e-001
1.086392201726845e-004	5.000000e+000	5.000000e+000	2.686104e-001
1.186392201726845e-004	5.000000e+000	5.000000e+000	2.686104e-001
1.286392201726845e-004	5.000000e+000	5.000000e+000	2.686104e-001
1.386392201726844e-004	5.000000e+000	5.000000e+000	2.686104e-001
1.486392201726844e-004	5.000000e+000	5.000000e+000	2.686104e-001
1.586392201726844e-004	5.000000e+000	5.000000e+000	2.686104e-001
1.686392201726844e-004	5.000000e+000	5.000000e+000	2.686104e-001
1.786392201726844e-004	5.000000e+000	5.000000e+000	2.686104e-001
1.886392201726844e-004	5.000000e+000	5.000000e+000	2.686104e-001
1.986392201726844e-004	5.000000e+000	5.000000e+000	2.686104e-001
2.086392201726844e-004	5.000000e+000	5.000000e+000	2.686104e-001
2.186392201726844e-004	5.000000e+000	5.000000e+000	2.686104e-001
2.286392201726844e-004	5.000000e+000	5.000000e+000	2.686104e-001
2.386392201726844e-004	5.000000e+000	5.000000e+000	2.686104e-001
2.486392201726844e-004	5.000000e+000	5.000000e+000	2.686104e-001
2.586392201726844e-004	5.000000e+000	5.000000e+000	2.686104e-001
2.686392201726844e-004	5.000000e+000	5.000000e+000	2.686104e-001
2.786392201726845e-004	5.000000e+000	5.000000e+000	2.686104e-001
2.886392201726845e-004	5.000000e+000	5.000000e+000	2.686104e-001
2.986392201726845e-004	5.000000e+000	5.000000e+000	2.686104e-001
3.086392201726845e-004	5.000000e+000	5.000000e+000	2.686104e-001
3.186392201726846e-004	5.000000e+000	5.000000e+000	2.686104e-001
3.286392201726846e-004	5.000000e+000	5.000000e+000	2.686104e-001
3.386392201726846e-004	5.000000e+000	5.000000e+000	2.686104e-001
3.486392201726846e-004	5.000000e+000	5.000000e+000	2.686104e-001
3.586392201726847e-004	5.000000e+000	5.000000e+000	2.686104e-001
3.686392201726847e-004	5.000000e+000	5.000000e+000	2.686104e-001
3.786392201726847e-004	5.000000e+000	5.000000e+000	2.686104e-001
3.886392201726848e-004	5.000000e+000	5.000000e+000	2.686104e-001
3.986392201726848e-004	5.000000e+000	5.000000e+000	2.686104e-001
4.086392201726848e-004	5.000000e+000	5.000000e+000	2.686104e-001
4.186392201726848e-004	5.000000e+000	5.000000e+000	2.686104e-001
4.286392201726849e-004	5.000000e+000	5.000000e+000	2.686104e-001
